Protein.IDs,flybase_gene,Entry,e02,e06,e12,e20,L1,L2,L3,L3c,p1,p2,p3,p4,p5,Ayf,Aym,Af,Am
FBtr0307555;FBtr0307554;FBtr0070000,Nep3,Q9W5Y0,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,24673420.7705914,14820246.7712669,5596988.81977911,12246157.0908511,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,16291746.7783209,3858947.8446812,3858947.8446812
FBtr0303256;FBtr0070006;FBtr0343173,CG9572,E8NH67,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,170766999.999999,155712750.000001,139412500.000002,564934999.99999,943577499.999988,439727499.999992,444989999.999993,481874164.887927,651447499.999996,304997500,254824999.999998,1.827e+09,1799574999.99999
FBtr0070007,CG9577,Q9W5W8,3761375000,2917750000.00005,2588549999.99998,2284850000,2475800000.00003,2733150000.00001,2795374999.99998,7160024999.99988,12541349999.9998,13137749999.9999,13871249999.9998,13772499999.9999,10126450000.0001,7277300000,6316499999.99998,5619225000.00001,6096975000
FBtr0070008,CG9578,Q9W5W6,259345000.000001,290707500.000002,200527500.000003,198697500,123082500,58816473.1718893,57828473.9223408,133025000,98492999.9999992,96755565.4298862,52879221.300836,152517499.999997,8595621.13769981,80898077.1822584,74049420.3257646,29067719.7310393,17818120.3328714
FBtr0070026,CG9581,Q9W5W7,881909999.999999,847690000.000006,759084999.999995,571665000.000001,669230000,699637500.000004,598407499.99999,484750000.000004,381727499.999999,354645000.000006,307155000.000002,348280000.000001,489262499.999995,477285000.000002,529202499.999993,501817499.999997,431987500.000003
FBtr0333549;FBtr0303258;FBtr0070028;FBtr0333548,Rab35,Q9W5X0,66910999.9999998,192722499.999997,190457500.000002,228062500.000002,125771500.000001,124631250.000001,114385250.000001,159640000,8484948.62742115,12465630.1782969,51601478.7921123,63780414.3081871,30921302.421821,127744369.799215,261857500.000004,153502499.999999,195567499.999999
FBtr0070038;FBtr0339894,alpha-Cat,P35220,40760250.0000003,470119999.999993,923149999.999996,888642500.000003,611642499.999987,294139999.999998,267157499.999996,249484999.999998,93057504.5565506,263955750,394432499.999992,264615000.000001,177885000,277860000,337752499.999994,165393749.999999,142180000.000001
FBtr0331408;FBtr0070041;FBtr0070040,CG32230,Q8SYJ2,2247450000.00003,2002650000.00003,1833800000.00001,2266100000,2499849999.99998,2153024999.99997,3165699999.99998,4502475000.00005,5291625000.00006,3556199999.99997,3063225000.00005,3425974999.99994,8943325000.00002,9282200000.0001,8940600000.00003,1.3118e+10,17454000000.0001
FBtr0345139;FBtr0345138;FBtr0344974;FBtr0111141;FBtr0070044;FBtr0070043;FBtr0070042,CkIIalpha,P08181,7485574999.99994,7306025000.00002,6536949999.99993,6739550000.00007,5659924999.99999,4530474999.99997,5088950000.00001,4269149999.99993,3718699999.99997,4220650000.00003,4995850000.00005,4141874999.99998,3755674999.99998,3732624999.99997,3979475000.00004,4742674999.99997,2550800000.00002
FBtr0070045,CG33217,Q8MS38,113697500,161197499.999999,252649999.999997,237362500,902567500.00001,578787499.999998,612919999.999996,99837749.9999995,30149286.7363053,33092431.6189281,26880050.3062729,48306315.0886823,10463237.5191795,45982750.0000001,53168499.9999997,99373000.0000009,20358019.3847881
